"タイトル","公開日","URL","長さ","科目","対象","No"
"地理-64 中部地方(3)","2015-02-10T05:01:33.000Z","https://www.youtube.com/watch?v=FE5YJB88erY","00:05:47","社会","中学生",
"地理-65 中部地方(4)","2015-02-12T02:33:02.000Z","https://www.youtube.com/watch?v=k7MFt9AxUEE","00:06:27","社会","中学生",
"地理-66 中部地方(5)","2015-02-16T04:57:35.000Z","https://www.youtube.com/watch?v=uD3UGaJsjGY","00:05:22","社会","中学生",
"地理-67 関東地方(1)","2015-02-19T03:18:35.000Z","https://www.youtube.com/watch?v=pvGyKL5Sjxw","00:04:18","社会","中学生",
"地理-68 関東地方(2)","2015-02-23T03:44:44.000Z","https://www.youtube.com/watch?v=fpA7qF9BuoI","00:05:21","社会","中学生",
"地理-69 関東地方(3)","2015-03-02T04:53:52.000Z","https://www.youtube.com/watch?v=k57Dzi3PwJU","00:04:49","社会","中学生",
"地理-70 関東地方(4)","2015-03-04T04:13:39.000Z","https://www.youtube.com/watch?v=ObMokiA8YfY","00:05:59","社会","中学生",
"地理-71 東北地方(1)","2015-03-06T15:21:21.000Z","https://www.youtube.com/watch?v=SyuVjRSkw-c","00:04:57","社会","中学生",
"地理-72 東北地方(2)","2015-03-09T07:19:27.000Z","https://www.youtube.com/watch?v=-euItANZeoY","00:04:38","社会","中学生",
"地理-73 東北地方(3)","2015-03-10T12:17:45.000Z","https://www.youtube.com/watch?v=Av11-lf-l3c","00:05:16","社会","中学生",
"地理-74 東北地方(4)","2015-03-11T13:52:33.000Z","https://www.youtube.com/watch?v=nCMVzfw3Prw","00:04:51","社会","中学生",
"地理-75 北海道(1)","2015-03-18T02:14:27.000Z","https://www.youtube.com/watch?v=5Wb93Socg1U","00:06:45","社会","中学生",
"地理-76 北海道(2)","2015-03-19T15:56:53.000Z","https://www.youtube.com/watch?v=I1RGDEDk2Hk","00:04:24","社会","中学生",
"地理-77 北海道(3)","2015-03-20T04:59:43.000Z","https://www.youtube.com/watch?v=w7GK0bSKg3M","00:06:51","社会","中学生",
"数A-1 集合(1)","2014-04-23T03:39:32Z","https://www.youtube.com/watch?v=ZNleTg25fl0","00:13:05","数学","高校生","1"
"数A-2 集合(2)","2014-04-23T03:39:39Z","https://www.youtube.com/watch?v=JWuGqiGUKH8","00:16:35","数学","高校生","2"
"数A-3 集合(3)","2014-04-28T05:20:32Z","https://www.youtube.com/watch?v=aF37RF1sLTo","00:12:02","数学","高校生","3"
"数A-4 場合の数(1)・基本編","2014-05-08T07:24:02Z","https://www.youtube.com/watch?v=R8GIIHDfcNE","00:11:19","数学","高校生","4"
"数A-5 場合の数(2)・正の約数編","2014-05-02T05:46:28Z","https://www.youtube.com/watch?v=FkOCL5MZ5wM","00:10:00","数学","高校生","5"
"数A-6 場合の数(3)・自然数の組編","2014-05-08T07:24:15Z","https://www.youtube.com/watch?v=gkeQK_kfa5w","00:15:05","数学","高校生","6"
"数A-7 順列(1)・基本編","2014-05-08T07:24:15Z","https://www.youtube.com/watch?v=72cqwjJa5sM","00:11:22","数学","高校生","7"
"数A-8 順列(2)・続・基本編","2014-05-08T07:24:15Z","https://www.youtube.com/watch?v=4LJtn7VG67M","00:10:14","数学","高校生","8"
"数A-9 順列(3)・男女編","2014-05-14T12:11:13Z","https://www.youtube.com/watch?v=bkcEGLEAuzA","00:12:12","数学","高校生","9"
"数A-10 順列(4)・数字編","2014-05-14T12:11:29Z","https://www.youtube.com/watch?v=6Gw9JWN9FFQ","00:14:04","数学","高校生","10"
"数A-11 順列(5)・数字の応用編","2014-05-15T07:02:49Z","https://www.youtube.com/watch?v=Yv4Wsy22wx8","00:19:23","数学","高校生","11"
"数A-12 順列(6)・じゅず順列編","2014-05-18T06:05:42Z","https://www.youtube.com/watch?v=Q0HeRvK6Oqw","00:10:58","数学","高校生","12"
"数A-13 順列(7)・グル-プ分け編","2014-05-23T04:45:35Z","https://www.youtube.com/watch?v=tpOLtMx_Bfk","00:11:11","数学","高校生","13"
"数A-14 組み合わせ(1)・基本編","2014-05-23T04:45:42Z","https://www.youtube.com/watch?v=LoRcP47BrR4","00:13:49","数学","高校生","14"
"数A-15 組合せ(2)・文字編","2014-05-26T04:13:30Z","https://www.youtube.com/watch?v=pq3pJVNZrIU","00:16:36","数学","高校生","15"
"数A-16 組合せ(3)・男女編","2014-05-29T05:23:43Z","https://www.youtube.com/watch?v=fEoGvFh15Xo","00:09:40","数学","高校生","16"
"数A-17 組合せ(4)・道順編","2014-05-31T03:45:35Z","https://www.youtube.com/watch?v=mizNQokB3-U","00:12:19","数学","高校生","17"
"数A-18 組合せ(5)・重複編","2014-06-06T05:19:35Z","https://www.youtube.com/watch?v=j1V2LJuzVu8","00:16:40","数学","高校生","18"
"数A-19 確率(1)・さいころ編Part.1","2014-06-06T05:46:26Z","https://www.youtube.com/watch?v=FaMHSqeztjY","00:15:12","数学","高校生","19"
"数A-20 確率(2)・さいころ編Part.2","2014-06-07T05:57:19Z","https://www.youtube.com/watch?v=WiZswt2f_c8","00:12:24","数学","高校生","20"
"数A-21 確率(3)・さいころ編 Part.3","2014-06-11T04:22:54Z","https://www.youtube.com/watch?v=wCiBff5GxHI","00:11:29","数学","高校生","21"
"数A-22 確率(4)・さいころ編 Part.4","2014-06-14T06:13:05Z","https://www.youtube.com/watch?v=x39W7n0HKSs","00:13:43","数学","高校生","22"
"数A-23 確率(5)・色玉編 Part.1","2014-06-20T03:55:23Z","https://www.youtube.com/watch?v=KNy1n9H75sA","00:08:19","数学","高校生","23"
"数A-24 確率(6)・色玉編 Part.2","2014-06-20T04:53:35Z","https://www.youtube.com/watch?v=Our_1Nble1g","00:10:45","数学","高校生","24"
"数A-25 確率(7)・色玉編 Part.3","2014-06-21T08:04:59Z","https://www.youtube.com/watch?v=mV2JeVKYpmw","00:10:21","数学","高校生","25"
"数A-26 確率(8)・色玉編 Part.4","2014-06-21T08:22:28Z","https://www.youtube.com/watch?v=m5w0lVuEG0c","00:12:26","数学","高校生","26"
"数A-27 確率(9)・くじ編","2014-06-28T03:41:54Z","https://www.youtube.com/watch?v=S95VSk3pI-I","00:09:06","数学","高校生","27"
"数A-28 確率(10)・じゃんけん編","2014-06-28T04:15:09Z","https://www.youtube.com/watch?v=iw0PEtYXBzA","00:11:58","数学","高校生","28"
"数A-29 条件付き確率(1)","2016-04-01T06:41:42Z","https://www.youtube.com/watch?v=x3iP1OVnpZg","00:10:39","数学","高校生","29"
"数A-30 条件付き確率(2)","2016-04-02T02:32:19Z","https://www.youtube.com/watch?v=39e_1JU-5M8","00:08:43","数学","高校生","30"
"数A-31 条件付き確率(3)","2016-04-04T06:52:29Z","https://www.youtube.com/watch?v=nDlkWTt_Kyc","00:07:54","数学","高校生","31"
"数A-32 条件付き確率(4)","2016-04-04T16:10:07Z","https://www.youtube.com/watch?v=Ik2eyscBOtc","00:12:50","数学","高校生","32"
"公民-1 グロ-バル化","2014-03-25T05:30:11.000Z","https://www.youtube.com/watch?v=cTl8O6nhVNk","00:08:32","社会","中学生",
"公民-2 情報化と少子高齢化","2014-03-27T06:08:49.000Z","https://www.youtube.com/watch?v=abKQBaBc5ic","00:12:38","社会","中学生",
"公民-3 文化とは","2014-03-30T04:40:37.000Z","https://www.youtube.com/watch?v=lD2m0eSkKsg","00:07:57","社会","中学生",
"公民-4 社会的存在としての人間","2014-04-03T05:22:50.000Z","https://www.youtube.com/watch?v=Dsbk_ZYmwaw","00:07:33","社会","中学生",
"公民-5 きまりをつくる目的と方法","2014-04-08T05:53:45.000Z","https://www.youtube.com/watch?v=6reZrPpZCUU","00:08:46","社会","中学生",
"公民-6 人権の歴史(1)・基本編","2014-04-08T05:53:51.000Z","https://www.youtube.com/watch?v=ufjnEB0GFRw","00:10:11","社会","中学生",
"公民-7 人権の歴史(2)・思想家編","2014-04-08T05:53:55.000Z","https://www.youtube.com/watch?v=DzTWp7pZPkc","00:08:28","社会","中学生",
"公民-8 日本国憲法の基本原理","2014-04-10T07:47:30.000Z","https://www.youtube.com/watch?v=6CviJIEVmu0","00:07:41","社会","中学生",
"公民-9 日本の平和主義","2014-04-11T10:10:16.000Z","https://www.youtube.com/watch?v=8Np3B9CxYcM","00:07:52","社会","中学生",
"公民-10 基本的人権(1)・基本編","2014-04-13T06:48:34.000Z","https://www.youtube.com/watch?v=PDTmuSVMcLc","00:06:24","社会","中学生",
"公民-11 基本的人権(2)・平等権編","2014-04-15T05:35:43.000Z","https://www.youtube.com/watch?v=wuCZGwjy3mM","00:07:48","社会","中学生",
"公民-12 基本的人権(3)・自由権編","2014-04-17T05:45:21.000Z","https://www.youtube.com/watch?v=l5tjHJa0_zg","00:10:28","社会","中学生",
"公民-13 基本的人権(4)・社会権編","2014-04-17T05:45:25.000Z","https://www.youtube.com/watch?v=82CzSh08YVw","00:07:14","社会","中学生",
"公民-14 基本的人権(5)・人権保障と義務編","2014-04-17T05:45:30.000Z","https://www.youtube.com/watch?v=d3ZRD5nc4o4","00:07:18","社会","中学生",
"公民-15 基本的人権(6)・新しい人権編","2014-04-18T06:38:32.000Z","https://www.youtube.com/watch?v=6xyYxBwYOdc","00:08:44","社会","中学生",
"公民-16 自己決定権・グロ-バル社会と人権","2014-04-18T06:38:36.000Z","https://www.youtube.com/watch?v=LZrVuy4nKLs","00:09:04","社会","中学生",
"公民-17 政治について(1)","2014-09-10T03:54:45.000Z","https://www.youtube.com/watch?v=aUqwONu9_ZI","00:06:52","社会","中学生",
"公民-18 政治について(2)","2014-09-12T11:25:03.000Z","https://www.youtube.com/watch?v=-PCFp2mtmT0","00:08:23","社会","中学生",
"公民-19 政治について(3)・選挙編","2014-09-14T04:53:38.000Z","https://www.youtube.com/watch?v=Qt-rFNSqZOA","00:11:47","社会","中学生",
"公民-20 国会について(1)","2014-09-16T03:36:21.000Z","https://www.youtube.com/watch?v=Dwjcu4plNB4","00:10:16","社会","中学生",
"公民-21 国会について(2)","2014-09-18T05:24:47.000Z","https://www.youtube.com/watch?v=PKUpb9Fx7go","00:09:10","社会","中学生",
"公民-22 行政について","2014-09-20T00:42:55.000Z","https://www.youtube.com/watch?v=61MD1HOPhYo","00:09:35","社会","中学生",
"公民-23 裁判について(1)","2014-09-21T13:34:44.000Z","https://www.youtube.com/watch?v=elMNkQNiZhY","00:07:32","社会","中学生",
"公民-24 裁判について(2)","2014-09-24T04:16:24.000Z","https://www.youtube.com/watch?v=QgFehur9DMU","00:09:58","社会","中学生",
"公民-25 裁判について(3)","2014-09-26T00:07:48.000Z","https://www.youtube.com/watch?v=gZFF8t0d5XY","00:08:06","社会","中学生",
"公民-26 三権の抑制と均衡","2014-09-28T01:48:13.000Z","https://www.youtube.com/watch?v=S0IBoXBsw_o","00:12:58","社会","中学生",
"公民-27 地方について(1)","2014-10-01T04:45:55.000Z","https://www.youtube.com/watch?v=IAvsxZy8lhY","00:09:05","社会","中学生",
"公民-28 地方について(2)","2014-10-03T01:50:31.000Z","https://www.youtube.com/watch?v=NTD_beGu834","00:10:10","社会","中学生",
"公民-29 地方について(3)","2014-10-05T03:26:25.000Z","https://www.youtube.com/watch?v=9Gl0BFS6_uY","00:08:35","社会","中学生",
"公民-30 消費者の権利","2014-11-20T05:35:16.000Z","https://www.youtube.com/watch?v=Bvq38wKfXsI","00:08:09","社会","中学生",
"公民-31 企業の役割と意義","2014-11-21T08:24:45.000Z","https://www.youtube.com/watch?v=OpcqD92IHM0","00:08:29","社会","中学生",
"公民-32 企業と労働者","2014-11-22T22:39:44.000Z","https://www.youtube.com/watch?v=WL6b30yJ498","00:08:41","社会","中学生",
"公民-33 市場経済と価格","2014-11-25T02:09:01.000Z","https://www.youtube.com/watch?v=eKZMl-b-3HE","00:11:48","社会","中学生",
"公民-34 貨幣と金融","2014-11-27T03:20:48.000Z","https://www.youtube.com/watch?v=StmEKParm0g","00:10:08","社会","中学生",
"公民-35 政府の経済活動と租税","2014-11-28T13:52:00.000Z","https://www.youtube.com/watch?v=BH_MTLVf5G4","00:09:33","社会","中学生",
"公民-36 政府の役割","2014-12-01T04:27:25.000Z","https://www.youtube.com/watch?v=zmyBxJsaSLI","00:08:10","社会","中学生",
"公民-37 社会保障のしくみ","2014-12-03T03:32:06.000Z","https://www.youtube.com/watch?v=qOnx3Noj27U","00:09:29","社会","中学生",
"公民-38 公害の防止と環境の保全","2014-12-05T03:35:25.000Z","https://www.youtube.com/watch?v=J4jn0JaGl7I","00:07:19","社会","中学生",
"公民-39 国際社会における国家","2014-12-05T08:41:23.000Z","https://www.youtube.com/watch?v=u6k_NsJcmDI","00:08:29","社会","中学生",
"公民-40 国際連合のしくみと働き","2014-12-08T04:15:30.000Z","https://www.youtube.com/watch?v=wsa1HCGFWKk","00:08:32","社会","中学生",
"公民-41 地域主義の動き","2014-12-09T03:22:47.000Z","https://www.youtube.com/watch?v=L3b9xe-Gwiw","00:08:11","社会","中学生",
"公民-42 新しい戦争と平和","2014-12-10T01:13:37.000Z","https://www.youtube.com/watch?v=C4S3JcXHGmY","00:07:51","社会","中学生",
"公民-43 文化の多様性と地球環境問題","2014-12-11T04:20:41.000Z","https://www.youtube.com/watch?v=GIT3NUrfOmo","00:09:10","社会","中学生",
"公民-44 よりよい地球社会のために","2014-12-12T04:37:48.000Z","https://www.youtube.com/watch?v=--FlzGVCwhI","00:07:52","社会","中学生",
"数Ⅰ-1 係数と次数","2014-03-01T04:13:26Z","https://www.youtube.com/watch?v=GM7YXAkW__4","00:11:01","数学","高校生","1"
"数Ⅰ-2 降べきの順","2014-03-04T06:26:24Z","https://www.youtube.com/watch?v=1XmCMgWshs0","00:16:33","数学","高校生","2"
"数Ⅰ-3 指数法則","2014-03-07T05:02:40Z","https://www.youtube.com/watch?v=1BYXFQDXnzU","00:13:55","数学","高校生","3"
"数Ⅰ-4 展開(1)(基本編)","2014-03-08T04:28:18Z","https://www.youtube.com/watch?v=3za2yAwmExI","00:14:46","数学","高校生","4"
"数Ⅰ-5 展開(2)(練習編)","2014-03-10T03:41:30Z","https://www.youtube.com/watch?v=dL8umGhSfkI","00:14:55","数学","高校生","5"
"数Ⅰ-6 展開(3)(応用編)","2014-03-12T03:29:37Z","https://www.youtube.com/watch?v=-k9dkXTYal0","00:18:54","数学","高校生","6"
"数Ⅰ-7 展開(4)(3次式の公式編)","2014-03-14T08:16:32Z","https://www.youtube.com/watch?v=T57HFX1u2UU","00:16:27","数学","高校生","7"
"数Ⅰ-8 因数分解(1)(基本編)","2014-03-17T05:58:40Z","https://www.youtube.com/watch?v=d7Vn03G0uaM","00:14:30","数学","高校生","8"
"数Ⅰ-9 因数分解(2)(たすき掛け編)","2014-03-18T04:51:54Z","https://www.youtube.com/watch?v=WeicaivQ7DU","00:16:32","数学","高校生","9"
"数Ⅰ-10 因数分解(3)(応用編)","2014-03-20T03:55:17Z","https://www.youtube.com/watch?v=hnaiOCSQLAQ","00:17:05","数学","高校生","10"
"数Ⅰ-11 因数分解(4)(3次式の公式編)","2014-03-24T06:05:05Z","https://www.youtube.com/watch?v=597kjoEI4Dw","00:13:25","数学","高校生","11"
"数Ⅰ-12 絶対値","2014-03-26T05:15:39Z","https://www.youtube.com/watch?v=wF-TMY5krYs","00:10:32","数学","高校生","12"
"数Ⅰ-13 √(ル-ト)シリ-ズ(1)(有理化編)","2014-03-28T10:48:31Z","https://www.youtube.com/watch?v=cOjvdHFIIJk","00:14:32","数学","高校生","13"
"数Ⅰ-14 √(ル-ト)シリ-ズ(2)(因数分解とのコラボ編)","2014-03-29T05:56:47Z","https://www.youtube.com/watch?v=35Q9LP_z7Z4","00:14:32","数学","高校生","14"
"数Ⅰ-15 √(ル-ト)シリ-ズ(3)(応用編)","2014-03-31T05:05:26Z","https://www.youtube.com/watch?v=Jx2Lpi-_eCQ","00:11:43","数学","高校生","15"
"数Ⅰ-16 √(ル-ト)シリ-ズ(4)(二重根号編)","2014-04-02T01:37:09Z","https://www.youtube.com/watch?v=NoSK5CYfR5M","00:14:07","数学","高校生","16"
"数Ⅰ-17 1次不等式(1)(基本編)","2014-04-06T05:57:10Z","https://www.youtube.com/watch?v=eUN1jp9fuqw","00:09:00","数学","高校生","17"
"数Ⅰ-18 1次不等式(2)(練習編)","2014-04-09T07:19:17Z","https://www.youtube.com/watch?v=vZZrxMj2avc","00:07:08","数学","高校生","18"
"数Ⅰ-19 1次不等式(3)(連立不等式編)","2014-04-12T08:55:09Z","https://www.youtube.com/watch?v=U3YslfVwjTc","00:10:13","数学","高校生","19"
"数Ⅰ-20 1次不等式(4)(応用編)","2014-04-14T05:57:21Z","https://www.youtube.com/watch?v=b_hqey6D9Pw","00:13:42","数学","高校生","20"
"数Ⅰ-21 絶対値を含む方程式・不等式(1)(基本編)","2014-04-19T09:07:53Z","https://www.youtube.com/watch?v=JsYEpe5ApEU","00:13:03","数学","高校生","21"
"数Ⅰ-22 絶対値を含む方程式・不等式(2)(応用編)","2014-04-20T01:46:45Z","https://www.youtube.com/watch?v=Ng4iXlXJoNk","00:16:31","数学","高校生","22"
"数Ⅰ-23 絶対値を含む方程式・不等式(3)(続 応用編)","2014-06-19T06:32:07Z","https://www.youtube.com/watch?v=4SC078_cw2Q","00:18:59","数学","高校生","23"
"数Ⅰ-24 集合(1)","2014-07-02T04:27:48Z","https://www.youtube.com/watch?v=cbGjUt6HdEA","00:13:50","数学","高校生","24"
"数Ⅰ-25 集合(2)","2014-07-04T03:05:12Z","https://www.youtube.com/watch?v=_0lSJdzhzt8","00:14:59","数学","高校生","25"
"数Ⅰ-26 集合(3)","2014-07-04T04:26:26Z","https://www.youtube.com/watch?v=qWTIRKPB1tw","00:07:06","数学","高校生","26"
"数Ⅰ-27 命題(1)","2014-07-05T09:45:36Z","https://www.youtube.com/watch?v=RdID-0BhscU","00:13:48","数学","高校生","27"
"数Ⅰ-28 命題(2)","2014-07-06T06:40:07Z","https://www.youtube.com/watch?v=oltUKTPfE8w","00:13:15","数学","高校生","28"
"数Ⅰ-29 命題(3)","2014-07-12T06:56:36Z","https://www.youtube.com/watch?v=YmE7ZLs7Rfw","00:12:29","数学","高校生","29"
"数Ⅰ-30 命題(4)","2014-07-14T05:08:15Z","https://www.youtube.com/watch?v=4JWGTd8zVd4","00:10:51","数学","高校生","30"
"数Ⅰ-31 命題(5)","2014-07-16T05:03:39Z","https://www.youtube.com/watch?v=7nFr49REK4Y","00:11:37","数学","高校生","31"
"数Ⅰ-32 命題(6)(背理法編)","2014-07-18T02:43:52Z","https://www.youtube.com/watch?v=k4Ci9u7HXw8","00:07:43","数学","高校生","32"
"数Ⅰ-33 命題(7)(続 背理法編)","2014-07-20T04:46:04Z","https://www.youtube.com/watch?v=zlcvMPrdv5E","00:13:04","数学","高校生","33"
"数Ⅰ-34 命題(8)","2014-07-23T00:50:38Z","https://www.youtube.com/watch?v=L-Sgx3uXU2M","00:11:18","数学","高校生","34"
"高校受験対策 確率(1)","2014-01-28T05:55:33Z","https://www.youtube.com/watch?v=pRSXI7nRgHU","00:17:16","数学","中学3年",
"高校受験対策 確率(2)","2015-08-13T07:31:16Z","https://www.youtube.com/watch?v=HeMbb0hVAck","00:15:17","数学","中学3年",
"高校受験対策 確率(3)","2015-08-15T03:14:32Z","https://www.youtube.com/watch?v=DM8etAOUoDA","00:12:48","数学","中学3年",
"高校受験対策 確率4","2016-10-23T08:41:14Z","https://www.youtube.com/watch?v=o3jssXzi2Xg","00:11:19","数学","中学3年",
"高校受験対策 確率5","2018-01-04T06:24:42Z","https://www.youtube.com/watch?v=cBaQc1aRBys","00:14:12","数学","中学3年",
"「難しそうに見せているだけ」という気持ちを持って欲しい","2020-01-05T16:28:47Z","https://www.youtube.com/watch?v=SIYVpnlqE-k","00:17:13","数学","中学3年",
"シンプルなコイン問題","2020-01-16T08:01:58Z","https://www.youtube.com/watch?v=4EMGZVn3oFs","00:12:35","数学","中学3年",
"歴史-1 人類の出現と進化","2014-01-27T03:45:19.000Z","https://www.youtube.com/watch?v=-cY6RkJp2jY","00:09:48","社会","中学生",
"歴史-2 四大文明(1)","2014-01-29T02:18:38.000Z","https://www.youtube.com/watch?v=SZIgrcW6mj0","00:07:41","社会","中学生",
"歴史-3 四大文明(2)","2014-01-30T04:37:09.000Z","https://www.youtube.com/watch?v=CR_QU7WFO34","00:11:24","社会","中学生",
"歴史-4 三大宗教","2014-01-31T05:07:12.000Z","https://www.youtube.com/watch?v=NPoE5dbJP5M","00:09:25","社会","中学生",
"歴史-5 時代の名前を覚えよう","2014-02-01T05:56:15.000Z","https://www.youtube.com/watch?v=SOehZvqfB0A","00:11:22","社会","中学生",
"歴史-6 縄文時代","2014-01-31T05:07:17.000Z","https://www.youtube.com/watch?v=yeYzkFYt_dU","00:08:07","社会","中学生",
"歴史-7 弥生時代","2014-02-05T04:23:19.000Z","https://www.youtube.com/watch?v=iQlxdqIZBok","00:10:02","社会","中学生",
"歴史-8 女王現る","2014-02-07T06:03:23.000Z","https://www.youtube.com/watch?v=42gBwS0j4YY","00:07:04","社会","中学生",
"歴史-9 古墳時代(1) 日本編","2014-02-10T05:17:43.000Z","https://www.youtube.com/watch?v=HxlnDG4hHms","00:06:01","社会","中学生",
"歴史-10 古墳時代(2) 中国と朝鮮半島編","2014-02-11T03:22:26.000Z","https://www.youtube.com/watch?v=cVAfmRFHCrQ","00:09:06","社会","中学生",
"歴史-11 飛鳥時代(1)・日本編","2014-02-12T03:48:03.000Z","https://www.youtube.com/watch?v=Y-my7RLgns4","00:11:30","社会","中学生",
"歴史-12 飛鳥時代(2)・ク-デタ-編","2014-02-13T03:55:08.000Z","https://www.youtube.com/watch?v=JB7D8JedOoc","00:08:46","社会","中学生",
"歴史-13 飛鳥時代(3)・中国と朝鮮半島編","2014-02-15T01:56:35.000Z","https://www.youtube.com/watch?v=JH5GSLKLjyw","00:08:39","社会","中学生",
"歴史-14 奈良時代(1)・基本編","2014-02-18T08:31:41.000Z","https://www.youtube.com/watch?v=9uRJ4YGbxWA","00:10:42","社会","中学生",
"歴史-15 奈良時代(2)・人々のくらし編","2014-02-18T08:31:46.000Z","https://www.youtube.com/watch?v=AgjyvsyM-dY","00:12:04","社会","中学生",
"歴史-16 奈良時代(3)・文化編","2014-02-19T06:40:44.000Z","https://www.youtube.com/watch?v=H2YTdEYfMnQ","00:10:36","社会","中学生",
"歴史-17 平安時代(1)・基本編","2014-02-25T04:45:59.000Z","https://www.youtube.com/watch?v=5piiXEP39j4","00:11:21","社会","中学生",
"歴史-18 平安時代(2)・新しい政治編","2014-02-25T04:46:03.000Z","https://www.youtube.com/watch?v=_SFeBrdNCLw","00:08:56","社会","中学生",
"歴史-19 平安時代(3)・文化編","2014-02-26T04:09:53.000Z","https://www.youtube.com/watch?v=vNAAtv34ClI","00:10:42","社会","中学生",
"歴史-20 平安時代(4)・武士の登場編","2014-02-27T05:35:45.000Z","https://www.youtube.com/watch?v=W1iPPxw-Aao","00:11:56","社会","中学生",
"歴史-21 鎌倉時代(1)・基本編","2014-02-28T05:03:35.000Z","https://www.youtube.com/watch?v=BwWWAhsbJg0","00:11:01","社会","中学生",
"歴史-22 鎌倉時代(2)・源氏の終わり編","2014-03-03T05:43:31.000Z","https://www.youtube.com/watch?v=GAedDJy4MpM","00:10:26","社会","中学生",
"歴史-23 鎌倉時代(3)・宗教と文化編","2014-03-05T07:20:06.000Z","https://www.youtube.com/watch?v=2lnojRYzF1M","00:13:19","社会","中学生",
"歴史-24 鎌倉時代(4)・モンゴル編","2014-03-06T02:24:01.000Z","https://www.youtube.com/watch?v=B-OxVEk6eLg","00:07:54","社会","中学生",
"歴史-25 鎌倉時代(5)・元との戦い編","2014-03-13T05:30:08.000Z","https://www.youtube.com/watch?v=EC7bzpvhbuM","00:09:59","社会","中学生",
"歴史-26 室町時代(1)・南北朝から室町編","2014-03-13T05:30:14.000Z","https://www.youtube.com/watch?v=h-wMRYhyvzo","00:08:05","社会","中学生",
"歴史-27 室町時代(2)・基本編","2014-03-13T05:30:19.000Z","https://www.youtube.com/watch?v=m6LCRFCAtcY","00:06:53","社会","中学生",
"歴史-28 室町時代(3)・貿易編","2014-03-19T04:53:45.000Z","https://www.youtube.com/watch?v=FWIcs5grtLU","00:08:16","社会","中学生",
"歴史-29 室町時代(4)・農業と商業編","2014-03-19T04:53:50.000Z","https://www.youtube.com/watch?v=6OaLjCXsl6g","00:08:21","社会","中学生",
"歴史-30 室町時代(5)・戦国の始まり編","2014-03-23T09:38:13.000Z","https://www.youtube.com/watch?v=rXsU8DsB-gc","00:09:19","社会","中学生",
"歴史-31 室町時代(6)・文化編","2014-03-23T09:38:18.000Z","https://www.youtube.com/watch?v=t26tqYvjbGk","00:10:27","社会","中学生",
"歴史-32 中世ヨ-ロッパと宗教改革","2014-04-22T03:44:49.000Z","https://www.youtube.com/watch?v=0RDAsQz6pvI","00:10:26","社会","中学生",
"歴史-33 大航海時代","2014-04-24T03:49:12.000Z","https://www.youtube.com/watch?v=3lMrPrvku1Q","00:08:04","社会","中学生",
"歴史-34 ヨ-ロッパ人が日本へ","2014-04-24T03:49:18.000Z","https://www.youtube.com/watch?v=YO6J96eCtpw","00:05:42","社会","中学生",
"歴史-35 全国統一をめざした男","2014-04-25T06:31:30.000Z","https://www.youtube.com/watch?v=HQMrWpcXn5I","00:07:27","社会","中学生",
"歴史-36 安土桃山時代(1)・統一編","2014-04-25T06:31:35.000Z","https://www.youtube.com/watch?v=M7mdE8uZau8","00:08:19","社会","中学生",
"歴史-37 安土桃山時代(2)・没落編","2014-04-26T01:54:54.000Z","https://www.youtube.com/watch?v=C71dpkhsIQA","00:07:37","社会","中学生",
"歴史-38 安土桃山時代(3)・文化編","2014-04-28T05:20:39.000Z","https://www.youtube.com/watch?v=xvU5M7U1MeU","00:06:55","社会","中学生",
"歴史-39 江戸時代(1)・基本編","2014-04-28T05:20:43.000Z","https://www.youtube.com/watch?v=S1lbjYkF3JA","00:07:37","社会","中学生",
"歴史-40 江戸時代(2)・しくみ編","2014-05-01T05:47:33.000Z","https://www.youtube.com/watch?v=dgRVzBvPnfQ","00:12:21","社会","中学生",
"歴史-41 江戸時代(3)・身分とくらし編","2014-05-01T05:48:10.000Z","https://www.youtube.com/watch?v=nVVs2PRTV1g","00:07:10","社会","中学生",
"歴史-42 江戸時代(4)・貿易編","2014-05-03T23:09:38.000Z","https://www.youtube.com/watch?v=BQLTkUreZ1A","00:06:20","社会","中学生",
"歴史-43 江戸時代(5)・キリスト教編","2014-05-06T02:59:36.000Z","https://www.youtube.com/watch?v=Q3utCkSyq_Y","00:11:12","社会","中学生",
"歴史-44 江戸時代(6)・農業編","2014-05-06T02:59:42.000Z","https://www.youtube.com/watch?v=O20c3mclt_M","00:07:10","社会","中学生",
"歴史-45 江戸時代(7)・都市の繁栄と文化編","2014-05-07T07:24:52.000Z","https://www.youtube.com/watch?v=kpUCYj4ivN4","00:10:04","社会","中学生",
"歴史-46 江戸時代(8)・1つ目の改革編","2014-05-07T07:24:59.000Z","https://www.youtube.com/watch?v=GsAAjy-Ta28","00:10:10","社会","中学生",
"歴史-47 江戸時代(9)・2つ目の改革編","2014-05-10T05:51:34.000Z","https://www.youtube.com/watch?v=YK782LWOXZM","00:09:26","社会","中学生",
"歴史-48 江戸時代(10)・学問と文化編","2014-05-10T05:51:38.000Z","https://www.youtube.com/watch?v=S2hrlSuzcLE","00:12:36","社会","中学生",
"歴史-49 江戸時代(11)・3つ目の改革編","2014-05-10T05:51:42.000Z","https://www.youtube.com/watch?v=69r3GS0opZo","00:10:23","社会","中学生",
"歴史-50 ヨ-ロッパの革命(1)・イギリス編","2014-05-12T00:56:53.000Z","https://www.youtube.com/watch?v=-_pDEqkK9Rk","00:09:44","社会","中学生",
