"タイトル","公開日","URL","長さ","科目","対象","プレイリストタイトル","No"
"「あんたがたどこさ」で手足を動かそう","2020-04-22T23:42:25Z","https://www.youtube.com/watch?v=8YiY7dt0igE","00:02:02","体育","中学3年","「いっしょに学ぼう」中学校３年生",
"「からだジャンケン」をしよう！","2020-04-22T23:42:25Z","https://www.youtube.com/watch?v=nUezkXgaYAU","00:02:44","体育","中学3年","「いっしょに学ぼう」中学校３年生",
"手足で体を支えてパワーアップ！","2020-04-22T23:42:25Z","https://www.youtube.com/watch?v=dRJop0zqEY8","00:01:42","体育","中学3年","「いっしょに学ぼう」中学校３年生",
"いろいろなポーズでバランスをとろう！","2020-04-22T23:42:25Z","https://www.youtube.com/watch?v=V1gdrsMcoUA","00:02:15","体育","中学3年","「いっしょに学ぼう」中学校３年生",
"食生活","2020-04-22T23:42:25Z","https://www.youtube.com/watch?v=la0JOuMPhjs","00:03:37","家庭","中学生","「いっしょに学ぼう」中学校３年生",
"Lesson 2三省堂   SD 480p","2020-04-22T23:42:25Z","https://www.youtube.com/watch?v=vNGC8bewXiM","00:10:17","英語","中学3年","「いっしょに学ぼう」中学校３年生",
"理科","2020-04-22T23:41:26Z","https://www.youtube.com/watch?v=_uoBaqpm1TA","00:06:11","学校","中学3年","「いっしょに学ぼう」中学校３年生",
"道案内をしよう三省堂","2020-04-22T23:41:26Z","https://www.youtube.com/watch?v=KY_fP1AMxWY","00:03:20","英語","中学3年","「いっしょに学ぼう」中学校３年生",
"展開①","2020-04-22T23:41:26Z","https://www.youtube.com/watch?v=xZRrMvCGi-4","00:03:32","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"因数分解②","2020-04-22T23:41:26Z","https://www.youtube.com/watch?v=ICTzUOE6Br0","00:03:01","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"因数分解③","2020-04-22T23:41:26Z","https://www.youtube.com/watch?v=8JuaWnurUrY","00:00:39","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"材料と加工①","2020-04-22T23:41:26Z","https://www.youtube.com/watch?v=Aq1Kg8ZEUXk","00:07:37","技術","中学生","「いっしょに学ぼう」中学校３年生",
"いろいろなリズムに親しもう","2020-04-22T23:41:26Z","https://www.youtube.com/watch?v=JYrcRYCfStE","00:04:35","音楽","中学1年","「いっしょに学ぼう」中学校３年生",
"展開②","2020-04-22T23:41:26Z","https://www.youtube.com/watch?v=qj4ul8rxvBc","00:04:38","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"展開③","2020-04-22T23:41:26Z","https://www.youtube.com/watch?v=kR8hxb1vpgQ","00:09:09","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"テーマを決める①","2020-04-22T23:41:26Z","https://www.youtube.com/watch?v=0_HHnQvVp2w","00:01:17","総合","中学生","「いっしょに学ぼう」中学校３年生",
"材料と加工②","2020-04-22T23:41:26Z","https://www.youtube.com/watch?v=4renLv2PQk8","00:05:33","技術","中学生","「いっしょに学ぼう」中学校３年生",
"①探究のプロセス","2020-04-22T23:41:26Z","https://www.youtube.com/watch?v=ULVEERtfszU","00:08:04","総合","中学生","「いっしょに学ぼう」中学校３年生",
"p6（東京書籍）","2020-04-22T23:40:14Z","https://www.youtube.com/watch?v=WQq_F5RSJg0","00:02:46","Unit1","中学3年","「いっしょに学ぼう」中学校３年生",
"第一次世界大戦","2020-04-22T23:40:14Z","https://www.youtube.com/watch?v=_W8xv2ICW5o","00:05:04","社会","中学3年","「いっしょに学ぼう」中学校３年生",
"テーマを決める　番外編","2020-04-22T23:40:14Z","https://www.youtube.com/watch?v=D92Dw9JANq4","00:02:04","総合","中学生","「いっしょに学ぼう」中学校３年生",
"はじめに（技術の学習全体について）","2020-04-22T23:40:14Z","https://www.youtube.com/watch?v=tOjlPcRubCE","00:04:51","技術","中学生","「いっしょに学ぼう」中学校３年生",
"平方根⑤","2020-04-22T23:40:14Z","https://www.youtube.com/watch?v=KouxadmTQuU","00:02:57","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"平方根④","2020-04-22T23:40:14Z","https://www.youtube.com/watch?v=rtBZJUFrr7Q","00:04:41","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"平方根③","2020-04-22T23:40:14Z","https://www.youtube.com/watch?v=JU6rgCIQEbs",,"数学","中学3年","「いっしょに学ぼう」中学校３年生",
"平方根②","2020-04-22T23:40:14Z","https://www.youtube.com/watch?v=8aL92soDzSU","00:04:46","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"平方根①","2020-04-22T23:40:14Z","https://www.youtube.com/watch?v=X2-dAJz5tvc","00:04:23","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"展開④","2020-04-22T23:40:14Z","https://www.youtube.com/watch?v=oA8K1l1B6Rg","00:04:32","数学","中学3年","「いっしょに学ぼう」中学校３年生",
"材料と加工③","2020-04-22T23:40:14Z","https://www.youtube.com/watch?v=MipXAeHUn4U","00:01:17","技術","中学生","「いっしょに学ぼう」中学校３年生",
"テーマを決める②","2020-04-22T23:40:14Z","https://www.youtube.com/watch?v=2_mZCWefQxU","00:07:54","総合","中学生","「いっしょに学ぼう」中学校３年生",
"受け身（東京書籍）","2020-04-22T23:40:14Z","https://www.youtube.com/watch?v=M_YkGqSUWzY","00:07:35","英語","中学3年","「いっしょに学ぼう」中学校３年生",
"式の計算6〜単項式の乗法２〜","2020-04-22T23:36:41.000Z","https://www.youtube.com/watch?v=nu2oOto-P6A","00:03:11","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"式の計算1〜4「解答編」","2020-04-22T23:36:41.000Z","https://www.youtube.com/watch?v=xFoxJJQGQlw","00:06:25","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"フェナキストスコープ②制作編","2020-04-22T23:36:41.000Z","https://www.youtube.com/watch?v=1iqNBYR2IhI","00:06:13","美術","中学2年","「いっしょに学ぼう」中学校２年生",
"フェナキストスコープ①準備編","2020-04-22T23:36:41.000Z","https://www.youtube.com/watch?v=BwKWLWdJsQA","00:04:36","美術","中学2年","「いっしょに学ぼう」中学校２年生",
"はじめに（技術の学習全体について）","2020-04-22T23:36:41.000Z","https://www.youtube.com/watch?v=tOjlPcRubCE","00:02:04","技術","中学生","「いっしょに学ぼう」中学校２年生",
"材料と加工③","2020-04-22T23:36:41.000Z","https://www.youtube.com/watch?v=MipXAeHUn4U","00:01:17","技術","中学生","「いっしょに学ぼう」中学校２年生",
"テーマを決める②","2020-04-22T23:36:41.000Z","https://www.youtube.com/watch?v=2_mZCWefQxU","00:07:54","総合","中学生","「いっしょに学ぼう」中学校２年生",
"式の加法、減法②","2020-04-22T23:37:44.000Z","https://www.youtube.com/watch?v=1J8myhEOe8I","00:04:02","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"式の加法、減法②＋","2020-04-22T23:37:44.000Z","https://www.youtube.com/watch?v=5AZ6cSzx_WA","00:03:36","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"単項式の乗法１","2020-04-22T23:37:44.000Z","https://www.youtube.com/watch?v=J856cGTU74s","00:03:56","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"Lesson 1（三省堂）","2020-04-22T23:37:44.000Z","https://www.youtube.com/watch?v=tQ2z70GwH7U","00:11:03","英語","中学2年","「いっしょに学ぼう」中学校２年生",
"物質の成り立ち","2020-04-22T23:37:44.000Z","https://www.youtube.com/watch?v=nobOmRKKKZc","00:05:06","理科","中学2年","「いっしょに学ぼう」中学校２年生",
"材料と加工①","2020-04-22T23:37:44.000Z","https://www.youtube.com/watch?v=Aq1Kg8ZEUXk","00:00:39","技術","中学生","「いっしょに学ぼう」中学校２年生",
"いろいろなリズムに親しもう","2020-04-22T23:37:44.000Z","https://www.youtube.com/watch?v=JYrcRYCfStE","00:07:37","音楽","中学1年","「いっしょに学ぼう」中学校２年生",
"テーマを決める①","2020-04-22T23:37:44.000Z","https://www.youtube.com/watch?v=0_HHnQvVp2w","00:09:09","総合","中学生","「いっしょに学ぼう」中学校２年生",
"近世① 世界の動きと統一事業","2020-04-22T23:37:44.000Z","https://www.youtube.com/watch?v=ea0Oj7BDOmg","00:06:51","社会","中学2年","「いっしょに学ぼう」中学校２年生",
"①探究のプロセス","2020-04-22T23:37:44.000Z","https://www.youtube.com/watch?v=ULVEERtfszU","00:05:33","総合","中学生","「いっしょに学ぼう」中学校２年生",
"Unit2","2020-04-22T23:37:44.000Z","https://www.youtube.com/watch?v=mR8jJYxKJ9Y","00:05:32","英語","中学2年","「いっしょに学ぼう」中学校２年生",
"式の計算１～単項式と多項式～","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=l8X0wGoArSo","00:03:45","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"式の計算２～式の加法、減法①～","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=fDHQmf986NA","00:03:33","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"Unit 0（東京書籍）","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=VllgBFtJEcY","00:08:45","英語","中学2年","「いっしょに学ぼう」中学校２年生",
"「あんたがたどこさ」で手足を動かそう","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=8YiY7dt0igE","00:02:02","体育","中学2年","「いっしょに学ぼう」中学校２年生",
"「からだジャンケン」をしよう！","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=nUezkXgaYAU","00:02:44","体育","中学2年","「いっしょに学ぼう」中学校２年生",
"手足で体を支えてパワーアップ！","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=dRJop0zqEY8","00:01:42","体育","中学2年","「いっしょに学ぼう」中学校２年生",
"いろいろなポーズでバランスをとろう！","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=V1gdrsMcoUA","00:02:15","体育","中学2年","「いっしょに学ぼう」中学校２年生",
"連立方程式の解き方","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=SqHpQ-vMu1I","00:05:59","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"動物のからだ","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=PTcgbpphlHQ","00:18:08","理科","中学2年","「いっしょに学ぼう」中学校２年生",
"Unit 2（東京書籍）","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=rr-brPvPjO0","00:09:29","英語","中学2年","「いっしょに学ぼう」中学校２年生",
"食生活","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=la0JOuMPhjs","00:03:37","家庭","中学生","「いっしょに学ぼう」中学校２年生",
"連立方程式を解く②","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=LtYAgvthQdg","00:04:51","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"連立方程式を解く③","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=QbIVllkW0i8","00:04:13","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"連立方程式を解く④","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=ttsWN3RswUA","00:04:24","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"アイスプラネット","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=es1zW7oXCds","00:12:49","国語","中学2年","「いっしょに学ぼう」中学校２年生",
"地形図","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=SwynEdbiHwo","00:07:34","社会","中学2年","「いっしょに学ぼう」中学校２年生",
"連立方程式を解く⑤","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=1gK7bq1j9zw","00:03:43","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"連立方程式を解く⑥","2020-04-22T23:39:05.000Z","https://www.youtube.com/watch?v=Kso5zCFtXRI","00:03:25","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"式の計算7〜単項式の除法１〜","2020-04-23T11:14:39.000Z","https://www.youtube.com/watch?v=PQMq8tKjms8","00:02:55","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"連立方程式を解く１〜３「解答編」","2020-04-23T11:14:39.000Z","https://www.youtube.com/watch?v=vBFObHTIMcM","00:06:12","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"式の計算1〜4「解答編」","2020-04-23T11:14:39.000Z","https://www.youtube.com/watch?v=xFoxJJQGQlw","00:06:25","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"式の計算6〜単項式の乗法２〜","2020-04-23T11:14:39.000Z","https://www.youtube.com/watch?v=nu2oOto-P6A","00:03:11","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"テーマを決める　番外編","2020-04-23T11:14:39.000Z","https://www.youtube.com/watch?v=D92Dw9JANq4","00:05:04","総合","中学生","「いっしょに学ぼう」中学校２年生",
"フェナキストスコープ①準備編","2020-04-23T11:14:39.000Z","https://www.youtube.com/watch?v=BwKWLWdJsQA","00:04:36","美術","中学2年","「いっしょに学ぼう」中学校２年生",
"フェナキストスコープ②制作編","2020-04-23T11:14:39.000Z","https://www.youtube.com/watch?v=1iqNBYR2IhI","00:06:13","美術","中学2年","「いっしょに学ぼう」中学校２年生",
"近世① 世界の動きと統一事業その２","2020-04-30T08:28:21.000Z","https://www.youtube.com/watch?v=dV0RpXmi6LU","00:08:40","社会","中学2年","「いっしょに学ぼう」中学校２年生",
"エネルギー変換③","2020-04-30T08:31:06.000Z","https://www.youtube.com/watch?v=vkavMIB6o_g","00:03:00","技術","中学生","「いっしょに学ぼう」中学校２年生",
"情報①","2020-04-30T08:31:06.000Z","https://www.youtube.com/watch?v=FXQTAx_ShMU","00:01:43","技術","中学生","「いっしょに学ぼう」中学校２年生",
"式の計算５〜８「解答編」","2020-04-30T08:36:58.000Z","https://www.youtube.com/watch?v=iikNj3VPHSA","00:07:08","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"式の計算８","2020-04-30T08:37:33.000Z","https://www.youtube.com/watch?v=HXoojuVPM-0","00:05:53","数学","中学2年","「いっしょに学ぼう」中学校２年生",
"テーマを決める　番外編","2020-04-22T23:29:55Z","https://www.youtube.com/watch?v=D92Dw9JANq4","00:05:04","総合","中学生","「いっしょに学ぼう」中学校１年生",
"Sending an E mail②","2020-04-22T23:29:55Z","https://www.youtube.com/watch?v=DWgRpAQpvwQ","00:05:09","英語","中学1年","「いっしょに学ぼう」中学校１年生",
"はじめに（技術の学習全体について）","2020-04-22T23:29:55Z","https://www.youtube.com/watch?v=tOjlPcRubCE","00:02:04","技術","中学生","「いっしょに学ぼう」中学校１年生",
"歴史","2020-04-22T23:29:55Z","https://www.youtube.com/watch?v=W6iSoSl4vPo","00:05:21","社会","中学1年","「いっしょに学ぼう」中学校１年生",
"地理","2020-04-22T23:29:55Z","https://www.youtube.com/watch?v=YoxLsrpTCpM","00:08:33","社会","中学1年","「いっしょに学ぼう」中学校１年生",
"材料と加工③","2020-04-22T23:29:55Z","https://www.youtube.com/watch?v=MipXAeHUn4U","00:01:17","技術","中学生","「いっしょに学ぼう」中学校１年生",
"テーマを決める②","2020-04-22T23:29:55Z","https://www.youtube.com/watch?v=2_mZCWefQxU","00:07:54","総合","中学生","「いっしょに学ぼう」中学校１年生",
"⑦sending an e mail①","2020-04-22T23:29:55Z","https://www.youtube.com/watch?v=0_LPVb1nzI8","00:06:31","英語","中学1年","「いっしょに学ぼう」中学校１年生",
"⑥talking on the phone","2020-04-22T23:29:55Z","https://www.youtube.com/watch?v=ThxQdPNIp8w","00:06:10","英語","中学1年","「いっしょに学ぼう」中学校１年生",
"正負の数の加法１","2020-04-22T23:29:55Z","https://www.youtube.com/watch?v=vTXm1cGd98U","00:08:48","数学","中学1年","「いっしょに学ぼう」中学校１年生",
"②Classroom English","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=zkVkNsWRnxw","00:09:47","英語","中学1年","「いっしょに学ぼう」中学校１年生",
"③自分が伝わる名刺","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=OJRehn6hVI8","00:07:03","英語","中学1年","「いっしょに学ぼう」中学校１年生",
"④my cool friends","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=cbzZy68X2NY","00:08:31","英語","中学1年","「いっしょに学ぼう」中学校１年生",
"材料と加工①","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=Aq1Kg8ZEUXk","00:00:39","技術","中学生","「いっしょに学ぼう」中学校１年生",
"⑤質問に答えよう","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=cxuXgORgJpc","00:11:07","英語","中学1年","「いっしょに学ぼう」中学校１年生",
"いろいろなリズムに親しもう","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=JYrcRYCfStE","00:07:37","音楽","中学1年","「いっしょに学ぼう」中学校１年生",
"地理","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=GW7qO7SCPis","00:05:39","社会","中学1年","「いっしょに学ぼう」中学校１年生",
"地理","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=Fg98wCHgHkI","00:04:59","社会","中学1年","「いっしょに学ぼう」中学校１年生",
"地理","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=9HDs-1OYmpY","00:04:56","社会","中学1年","「いっしょに学ぼう」中学校１年生",
"歴史のとらえ方","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=ByqdriOb1Xk","00:05:53","社会","中学1年","「いっしょに学ぼう」中学校１年生",
"身近な生物","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=hzlQqAQk_7c","00:09:09","理科","中学1年","「いっしょに学ぼう」中学校１年生",
"テーマを決める①","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=0_HHnQvVp2w","00:01:17","総合","中学生","「いっしょに学ぼう」中学校１年生",
"材料と加工②","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=4renLv2PQk8","00:05:33","技術","中学生","「いっしょに学ぼう」中学校１年生",
"①探究のプロセス","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=ULVEERtfszU","00:09:50","総合","中学生","「いっしょに学ぼう」中学校１年生",
"線で気持ちを表してみよう","2020-04-22T23:31:36Z","https://www.youtube.com/watch?v=J90xivEfHCw","00:04:06","美術","中学1年","「いっしょに学ぼう」中学校１年生",
"おもな国々の国名と位置","2020-04-22T23:32:42Z","https://www.youtube.com/watch?v=uPzN--mKLKU","00:02:02","社会","中学1年","「いっしょに学ぼう」中学校１年生",
"「あんたがたどこさ」で手足を動かそう","2020-04-22T23:32:42Z","https://www.youtube.com/watch?v=8YiY7dt0igE","00:02:44","体育","中学1年","「いっしょに学ぼう」中学校１年生",
"「からだジャンケン」をしよう！","2020-04-22T23:32:42Z","https://www.youtube.com/watch?v=nUezkXgaYAU","00:01:42","体育","中学1年","「いっしょに学ぼう」中学校１年生",
"手足で体を支えてパワーアップ！","2020-04-22T23:32:42Z","https://www.youtube.com/watch?v=dRJop0zqEY8","00:02:15","体育","中学1年","「いっしょに学ぼう」中学校１年生",
"いろいろなポーズでバランスをとろう！","2020-04-22T23:32:42Z","https://www.youtube.com/watch?v=V1gdrsMcoUA","00:03:37","体育","中学1年","「いっしょに学ぼう」中学校１年生",
"食生活","2020-04-22T23:32:42Z","https://www.youtube.com/watch?v=la0JOuMPhjs","00:01:05","家庭","中学生","「いっしょに学ぼう」中学校１年生",
"タンポポの花のつくり","2020-04-22T23:32:42Z","https://www.youtube.com/watch?v=SPAl7uhtfiQ","00:11:03","理科","中学1年","「いっしょに学ぼう」中学校１年生",
"アルファベット","2020-04-22T23:32:42Z","https://www.youtube.com/watch?v=cWy1vmTqQUA","00:09:36","英語","中学1年","「いっしょに学ぼう」中学校１年生",
"漢字の組み立てと部首","2020-04-22T23:32:42Z","https://www.youtube.com/watch?v=0r3vTvR-28E","00:03:08","国語","中学1年","「いっしょに学ぼう」中学校１年生",
"春探し","2020-04-22T23:32:42Z","https://www.youtube.com/watch?v=NjwDCLsu8v8","00:02:32","理科","中学1年","「いっしょに学ぼう」中学校１年生",
"花のつくりとはたらき アブラナのひみつ②","2020-04-23T11:13:38Z","https://www.youtube.com/watch?v=4uYEW-qU8eg","00:03:59","理科","中学1年","「いっしょに学ぼう」中学校１年生",
"花のつくりとはたらき アブラナのひみつ①","2020-04-23T11:13:38Z","https://www.youtube.com/watch?v=jFKT_BZrd2I","00:02:04","理科","中学1年","「いっしょに学ぼう」中学校１年生",
"はじめに（技術の学習全体について）","2020-04-23T11:13:38Z","https://www.youtube.com/watch?v=tOjlPcRubCE","00:05:04","技術","中学生","「いっしょに学ぼう」中学校１年生",
"Sending an E mail②","2020-04-23T11:13:38Z","https://www.youtube.com/watch?v=DWgRpAQpvwQ","00:05:21","英語","中学1年","「いっしょに学ぼう」中学校１年生",
"テーマを決める　番外編","2020-04-23T11:13:38Z","https://www.youtube.com/watch?v=D92Dw9JANq4","00:08:33","総合","中学生","「いっしょに学ぼう」中学校１年生",
"歴史","2020-04-23T11:13:38Z","https://www.youtube.com/watch?v=W6iSoSl4vPo","00:05:24","社会","中学1年","「いっしょに学ぼう」中学校１年生",
"地理","2020-04-23T11:13:38Z","https://www.youtube.com/watch?v=YoxLsrpTCpM","00:08:09","社会","中学1年","「いっしょに学ぼう」中学校１年生",
"The Months of the Year","2020-04-30T08:27:56Z","https://www.youtube.com/watch?v=AyOtzphmL_4",,"英語","中学1年","「いっしょに学ぼう」中学校１年生",
"正負の数の計算④加法と減法の混じった計算","2020-04-30T08:28:46Z","https://www.youtube.com/watch?v=fgIyqlSKQ6M",,"数学","中学1年","「いっしょに学ぼう」中学校１年生",
"⑧My Favorite Things","2020-04-30T08:30:07.000Z","https://www.youtube.com/watch?v=c_pYxySpubc","00:07:38","英語","中学1年","「いっしょに学ぼう」中学校１年生",
"エネルギー変換③","2020-04-30T08:31:06.000Z","https://www.youtube.com/watch?v=vkavMIB6o_g","00:03:00","技術","中学生","「いっしょに学ぼう」中学校１年生",
"情報①","2020-04-30T08:31:06.000Z","https://www.youtube.com/watch?v=FXQTAx_ShMU","00:01:43","技術","中学生","「いっしょに学ぼう」中学校１年生",
"正の数・負の数の計算③＋（減法）","2020-04-30T08:32:32.000Z","https://www.youtube.com/watch?v=OiitQBjb3zU","00:07:42","数学","中学1年","「いっしょに学ぼう」中学校１年生",
"花のつくりとはたらき＋","2020-04-30T08:33:14.000Z","https://www.youtube.com/watch?v=Ys2OvMugjSs","00:08:06","理科","中学1年","「いっしょに学ぼう」中学校１年生",
"裸子植物と被子植物","2020-04-30T08:33:58.000Z","https://www.youtube.com/watch?v=qF1gNv1tJcE","00:09:22","理科","中学1年","「いっしょに学ぼう」中学校１年生",
"New Crown Lesson1","2020-04-30T08:33:58.000Z","https://www.youtube.com/watch?v=fZB_i-7T7Wg","00:09:03","英語","中学1年","「いっしょに学ぼう」中学校１年生",
"正の数・負の数の計算⑤（乗法）","2020-04-30T08:38:01.000Z","https://www.youtube.com/watch?v=Yh5otpiPVkk","00:07:42","数学","中学1年","「いっしょに学ぼう」中学校１年生",
"ヘチマの成長①","2020-04-22T23:14:59.000Z","https://www.youtube.com/watch?v=j-hPq0Azkw4","00:03:30","理科","小学4年","「いっしょに学ぼう」小学校４～６年",
"角とその大きさ⑤","2020-04-22T23:14:59.000Z","https://www.youtube.com/watch?v=x3hqPROOfEU","00:15:19","算数","小学4年","「いっしょに学ぼう」小学校４～６年",
"角とその大きさ④","2020-04-22T23:14:59.000Z","https://www.youtube.com/watch?v=O7h5oHhZHgE","00:10:14","算数","小学4年","「いっしょに学ぼう」小学校４～６年",
"角とその大きさ③","2020-04-22T23:14:59.000Z","https://www.youtube.com/watch?v=mfxQpwHb1gU","00:06:11","算数","小学4年","「いっしょに学ぼう」小学校４～６年",
"漢字の形と音・意味①","2020-04-22T23:14:59.000Z","https://www.youtube.com/watch?v=xBNKBrk1wRQ","00:05:14","国語","小学6年","「いっしょに学ぼう」小学校４～６年",
"短歌を作ろう","2020-04-22T23:14:59.000Z","https://www.youtube.com/watch?v=PSVucy8Dp_U","00:07:22","国語","小学6年","「いっしょに学ぼう」小学校４～６年",
"漢字の成り立ち","2020-04-22T23:14:59.000Z","https://www.youtube.com/watch?v=JhzJmcM2UDg","00:03:22","国語","小学5年","「いっしょに学ぼう」小学校４～６年",
"世界の中の国土3","2020-04-22T23:14:59.000Z","https://www.youtube.com/watch?v=G-AX5nbBMyg","00:03:11","社会","小学5年","「いっしょに学ぼう」小学校４～６年",
